id,color,x,y
1,red,22,21
2,red,19,21
3,red,24,36
4,red,27,44
5,red,43,37
6,red,44,34
7,red,42,13
8,red,5,16
9,red,5,5
10,red,17,31
11,red,14,8
12,red,11,36
13,red,41,34
14,red,13,37
15,red,37,40
16,red,39,31
17,red,42,42
18,red,18,37
19,red,10,14
20,red,21,31
21,red,44,14
22,red,9,28
23,red,44,30
24,red,41,35
25,red,31,44
26,red,32,10
27,red,40,22
28,red,27,33
29,red,37,9
30,red,22,18
31,red,42,17
32,red,30,13
33,red,38,19
34,red,43,12
35,red,25,30
36,red,20,5
37,red,16,33
38,red,23,28
39,red,5,40
40,red,45,11
41,red,15,5
42,red,24,34
43,red,5,38
44,red,39,44
45,red,20,41
46,red,45,19
47,red,29,22
48,red,23,44
49,red,25,6
50,red,5,5
51,red,15,21
52,red,27,21
53,red,6,33
54,red,17,41
55,red,11,26
56,red,41,44
57,red,31,33
58,red,32,42
59,red,37,33
60,red,25,31
61,red,28,21
62,red,19,10
63,red,32,36
64,red,38,15
65,red,14,22
66,red,31,14
67,red,28,43
68,red,21,6
69,red,16,10
70,red,45,44
71,red,43,5
72,red,28,41
73,red,15,36
74,red,22,17
75,red,11,13
76,red,8,36
77,red,13,28
78,red,16,9
79,red,27,5
80,red,20,8
81,red,37,33
82,red,31,25
83,red,14,17
84,red,39,43
85,red,21,34
86,red,30,38
87,red,42,14
88,red,17,31
89,red,12,6
90,red,45,14
91,red,44,15
92,red,11,28
93,red,44,12
94,red,15,31
95,red,29,37
96,red,34,41
97,red,29,24
98,red,39,28
99,red,22,23
100,red,33,37
1,blue,54,31
2,blue,56,6
3,blue,56,16
4,blue,70,27
5,blue,37,9
6,blue,36,44
7,blue,67,44
8,blue,57,16
9,blue,48,11
10,blue,70,29
11,blue,51,35
12,blue,41,24
13,blue,60,44
14,blue,53,30
15,blue,60,17
16,blue,62,39
17,blue,38,23
18,blue,43,11
19,blue,43,25
20,blue,64,44
21,blue,50,27
22,blue,70,33
23,blue,65,10
24,blue,68,24
25,blue,42,7
26,blue,35,6
27,blue,40,30
28,blue,69,17
29,blue,48,5
30,blue,40,14
31,blue,66,32
32,blue,39,11
33,blue,52,22
34,blue,43,35
35,blue,65,41
36,blue,62,11
37,blue,43,42
38,blue,69,26
39,blue,43,7
40,blue,49,45
41,blue,38,22
42,blue,57,19
43,blue,47,21
44,blue,53,21
45,blue,61,43
46,blue,46,10
47,blue,67,34
48,blue,46,31
49,blue,53,42
50,blue,40,5
51,blue,38,39
52,blue,58,41
53,blue,70,19
54,blue,49,23
55,blue,61,38
56,blue,65,23
57,blue,69,21
58,blue,63,43
59,blue,36,32
60,blue,54,17
61,blue,67,9
62,blue,58,34
63,blue,69,19
64,blue,70,11
65,blue,35,24
66,blue,54,26
67,blue,46,5
68,blue,53,32
69,blue,56,30
70,blue,60,33
71,blue,51,44
72,blue,44,15
73,blue,37,14
74,blue,37,21
75,blue,41,23
76,blue,65,35
77,blue,36,28
78,blue,49,15
79,blue,43,38
80,blue,36,15
81,blue,66,31
82,blue,56,28
83,blue,42,17
84,blue,58,38
85,blue,54,21
86,blue,56,37
87,blue,36,17
88,blue,65,45
89,blue,38,25
90,blue,55,42
91,blue,41,30
92,blue,38,37
93,blue,47,32
94,blue,37,32
95,blue,37,37
96,blue,64,14
97,blue,35,26
98,blue,36,32
99,blue,57,27
100,blue,70,5
1,blue,11,8
2,red,7,16
3,red,3,34
4,blue,46,6
5,red,20,17
6,red,4,33
7,blue,51,13
8,red,21,34
9,blue,11,45
10,blue,26,22
11,red,13,32
12,blue,46,22
13,red,6,45
14,red,70,2
15,blue,19,44
16,red,3,31
17,red,68,13
18,red,42,16
19,red,58,28
20,blue,69,39
